,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
205,23/05/2020,23,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
206,22/05/2020,22,5,2020,5,0,Albania,AL,ALB,2862427.0,Europe
207,21/05/2020,21,5,2020,15,0,Albania,AL,ALB,2862427.0,Europe
208,20/05/2020,20,5,2020,1,0,Albania,AL,ALB,2862427.0,Europe
209,19/05/2020,19,5,2020,2,0,Albania,AL,ALB,2862427.0,Europe
210,18/05/2020,18,5,2020,13,0,Albania,AL,ALB,2862427.0,Europe
211,17/05/2020,17,5,2020,17,0,Albania,AL,ALB,2862427.0,Europe
212,16/05/2020,16,5,2020,18,0,Albania,AL,ALB,2862427.0,Europe
213,15/05/2020,15,5,2020,18,0,Albania,AL,ALB,2862427.0,Europe
214,14/05/2020,14,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
215,13/05/2020,13,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
216,12/05/2020,12,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
217,11/05/2020,11,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
218,10/05/2020,10,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
219,09/05/2020,9,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
220,08/05/2020,8,5,2020,10,0,Albania,AL,ALB,2862427.0,Europe
221,07/05/2020,7,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
222,06/05/2020,6,5,2020,17,0,Albania,AL,ALB,2862427.0,Europe
223,05/05/2020,5,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
224,04/05/2020,4,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
225,03/05/2020,3,5,2020,7,0,Albania,AL,ALB,2862427.0,Europe
226,02/05/2020,2,5,2020,9,0,Albania,AL,ALB,2862427.0,Europe
227,01/05/2020,1,5,2020,7,0,Albania,AL,ALB,2862427.0,Europe
228,30/04/2020,30,4,2020,16,1,Albania,AL,ALB,2862427.0,Europe
